feature,importance
eleStream,18.044859787081254
area,3.1388716644529806
dem,0.9689808010407674
wDem,0.9578810498133006
spi,0.5987549442596825
raster_max,0.5692037186441556
disStream,0.49267122412165854
wInfiRate,0.3758482549129678
wSlope,0.26416406649127644
raster_6h_max,0.2628870563607565
twi,0.24542399741922058
wNdvi,0.18064179907342234
profCurvature,0.1679901573150358
flowLength,0.13149822430679808
tpi,0.09836492045448135
streamSlope,0.0858881548905163
wCN,0.046933928724554805
planCurvature,0.033269681390831043
